Latitude,Longitude
39.940335,-83.1121
40.00269,-83.11324
40.01849,-83.1357
39.96719,-83.02456
39.97676,-83.13669
39.887486,-83.042099
40.098778,-82.916229
39.909191,-82.863159
39.87088,-82.836723
39.851833,-82.886497
40.00622,-82.997787
39.952183,-83.128952
40.10899,-83.016945
40.102123,-82.925133
39.60324,-82.95164
39.50074,-82.97421
39.60455,-82.83884
39.59453,-82.95453
40.052132,-82.961479
39.83968,-82.903923
40.004765,-82.867602
39.992304,-82.85589
39.852478,-83.078695
39.882197,-83.107664
39.87241,-83.053886
39.887693,-83.088893
39.93775,-82.77988
39.878801,-83.041156
39.98405,-82.82555
39.871076,-83.070309
40.057746,-82.91833
39.97621,-82.87399
39.97528,-82.88271
40.26598,-83.07354
40.057579,-82.50637
39.94423,-83.11165
40.18145,-83.08439
39.91003,-82.778471
39.931955,-82.789041
39.957066,-82.932899
40.087229,-82.488116
40.105514,-82.40469
39.94962,-82.97198
40.03064,-82.90852
39.921686,-82.921276
40.048214,-82.911367
39.966507,-83.001481
39.95727,-83.00148
39.95511,-82.99653
39.96332,-82.99105
39.96958,-83.00034
39.966164,-82.990572
39.973466,-83.004555
40.141505,-82.976718
39.97717,-83.00353
39.94806,-82.93717
39.927847,-82.879559
39.997458,-82.868262
40.085024,-82.951156
40.061456,-82.952843
40.061786,-82.970972
39.95484,-83.07517
40.067967,-82.992923
39.95515,-83.0944
40.05736,-82.89066
39.9253,-82.99555
39.954246,-83.088206
39.943381,-83.093256
39.93247,-82.99589
40.06036,-82.98103
40.019289,-82.88951
39.89187,-82.99654
39.916781,-83.005748
39.928014,-82.991504
39.96437,-82.78109
39.95515,-82.80677
39.968543,-82.941634
39.914821,-82.780222
40.000084,-82.925575
39.89817,-83.033218
39.948849,-83.110672
39.828571,-82.973007
39.97017,-82.89585
39.97324,-82.90231
39.91106,-83.069366
39.93878,-82.94387
40.006645,-82.913872
40.022754,-82.964749
40.073945,-82.821
40.086401,-82.796186
40.080241,-82.8329
39.957291,-82.68273
39.99477,-82.996193
39.83976,-83.084746
39.837166,-83.031693
40.06407,-83.08865
39.904167,-82.773399
40.01479,-82.96667
39.95948,-83.02297
39.92757,-83.09043
40.096203,-82.95598
40.10724,-82.97153
40.08754,-82.9748
39.883625,-82.777858
39.871044,-82.865257
40.019333,-82.878118
39.868542,-82.894722
39.95629,-82.80572
40.068249,-83.105125
39.90747,-82.9666
39.903414,-82.965235
39.92429,-82.99549
39.91231,-82.77932
39.97538,-82.94946
39.96469,-83.0009
40.00723,-82.97134
40.000063,-82.949223
40.02274,-82.96474
39.88916,-82.922272
39.83007,-82.934029
39.877579,-82.865128
39.861629,-82.91465
39.90913,-82.852386
39.891078,-82.748808
39.973072,-83.150009
39.877968,-82.870728
39.877098,-83.050095
40.111321,-83.002032
39.9554,-82.92615
39.959238,-82.983115
39.971225,-83.074315
39.980601,-83.150941
39.92112,-82.91993
40.0772,-83.14129
39.934021,-82.84626
39.953678,-82.963676
39.837002,-82.933327
40.231731,-82.441017
39.94845,-82.94524
40.169829,-83.089965
39.94421,-82.81677
40.078487,-82.924995
39.61176,-83.00609
39.93348,-83.08857
40.07604,-83.12935
40.07727,-82.97606
40.028999,-83.091499
39.909959,-82.740673
39.9458,-83.06127
39.932768,-82.792864
39.88531,-82.75482
39.98999,-83.05378
39.990287,-82.985597
39.98784,-82.76747
40.06246,-82.93474
39.931091,-83.143949
39.93899,-83.08974
39.93749,-83.15886
40.07687,-82.97605
40.06138,-82.99057
40.068192,-83.105087
39.94778,-82.81081
39.94758,-82.80884
40.05743,-82.90542
40.06487,-83.09317
40.02972,-82.91059
40.007452,-82.878899
40.088064,-82.99286
40.068218,-83.105095
40.09029,-82.97624
40.08195,-82.93717
40.072659,-83.10714
39.95707,-82.92623
39.98769,-82.95018
40.01376,-82.968744
39.97496,-82.81167
39.995664,-83.021605
40.23347,-82.45267
39.877583,-83.011513
39.935749,-83.04348
40.041702,-82.959785
39.997658,-83.022866
40.004213,-83.035923
39.998535,-83.00879
40.06303,-83.03749
40.026279,-82.930903
40.05558,-82.91812
39.949444,-83.12883
